Ontology,is ALC,No. Concepts,No. Axioms,50%,100%,150%,200%
experiment1,false,2.8679,99,106,1,1,3,11
experiment10,false,2.8022,81,91,1,1,4,13
experiment100,false,3.4453,402,530,1,1,3,12
experiment101,false,2.9508,67,61,1,1,2,9
experiment102,false,3.0426,49,47,1,1,3,7
experiment103,false,2.8333,26,24,1,1,3,7
experiment105,false,2.8333,20,18,1,1,3,6
experiment106,false,2.9600,50,50,1,1,3,11
experiment107,false,2.9195,82,87,1,1,2,9
experiment108,false,3.4138,70,87,1,1,4,10
experiment109,false,2.7143,17,14,1,1,3,7
experiment11,false,2.9536,188,194,1,1,2,17
experiment110,false,2.9495,82,99,1,1,4,9
experiment111,false,2.9722,212,216,1,1,2,11
experiment113,false,2.8293,45,41,1,1,4,11
experiment114,false,3.0000,36,40,1,1,2,7
experiment115,false,2.9550,113,111,1,1,2,10
experiment116,false,2.9762,46,42,1,1,4,13
experiment117,false,3.2157,116,153,1,1,2,12
experiment118,false,3.5194,116,129,1,1,3,12
experiment119,false,2.8929,33,28,1,1,4,8
experiment12,false,3.0357,102,112,1,1,6,18
experiment122,false,3.3514,43,37,1,1,2,4
experiment123,false,2.8871,60,62,1,1,5,13
experiment124,false,3.5844,83,77,1,1,3,8
experiment125,false,3.9174,224,230,1,1,2,3
experiment126,false,2.9880,65,83,1,1,3,6
experiment127,false,3.4321,78,81,1,1,3,7
experiment13,false,3.0617,71,81,1,1,4,12
experiment131,false,3.6583,1303,2344,1,1,8,55
experiment132,false,3.1818,58,55,1,1,3,7
experiment133,false,3.0968,58,62,1,1,3,10
experiment134,false,3.0495,82,101,1,1,2,11
experiment135,false,2.7857,31,28,1,1,3,9
experiment137,false,3.2018,110,114,1,1,4,15
experiment138,false,3.1643,138,140,1,1,3,8
experiment139,false,3.2078,80,77,1,1,3,6
experiment14,false,3.3617,126,141,1,1,5,17
experiment141,false,2.8630,71,73,1,1,3,11
experiment142,false,2.7955,43,44,1,1,3,10
experiment143,false,3.1304,86,92,1,1,3,10
experiment144,false,2.8750,21,16,1,1,4,7
experiment145,false,2.9375,70,64,1,1,2,11
experiment146,false,2.9828,64,58,1,1,3,10
experiment147,false,2.8333,54,54,1,1,5,12
experiment148,false,2.9542,251,262,1,1,3,17
experiment149,false,2.9556,91,90,1,1,3,9
experiment15,false,2.9159,106,107,1,1,2,11
experiment150,false,3.0446,113,112,1,1,3,10
experiment151,false,3.0287,273,279,1,1,3,13
experiment152,false,2.9876,265,322,1,1,3,15
experiment153,false,3.0000,115,129,1,1,3,7
experiment154,false,2.6696,110,112,1,1,7,35
experiment155,false,2.8293,44,41,1,1,3,11
experiment156,false,3.0194,155,155,1,1,3,12
experiment157,false,3.0300,333,333,1,1,2,14
experiment158,false,3.1164,291,421,1,1,2,19
experiment159,false,2.9362,390,392,1,1,3,38
experiment16,false,2.7212,145,165,1,1,3,26
experiment160,false,3.0680,267,309,1,1,3,12
experiment161,false,2.8955,64,67,1,1,4,9
experiment162,false,3.0966,120,176,1,1,3,6
experiment163,false,2.9216,201,204,1,1,3,18
experiment164,false,2.7222,59,54,1,1,7,20
experiment165,false,3.0267,127,150,1,1,4,19
experiment166,false,3.1667,64,72,1,1,4,11
experiment167,false,2.9254,65,67,1,1,4,12
experiment168,false,2.5217,395,437,1,1,14,167
experiment169,false,3.4410,158,229,1,1,5,12
experiment17,false,2.8250,44,40,1,1,4,12
experiment170,false,2.8942,100,104,1,1,2,14
experiment171,false,2.9118,71,68,1,1,5,13
experiment172,false,3.3707,175,205,1,1,5,19
experiment173,false,2.9500,91,100,1,1,5,14
experiment174,false,2.9861,79,72,1,1,3,12
experiment175,false,2.9146,154,164,1,1,5,21
experiment176,false,3.3024,430,539,1,1,4,18
experiment177,false,3.5906,269,298,1,1,2,3
experiment178,false,3.2525,177,202,1,1,2,5
experiment179,false,3.1700,212,247,1,1,2,9
experiment18,false,3.1042,111,144,1,1,2,14
experiment180,false,2.9679,211,249,1,1,4,21
experiment181,false,3.0421,92,95,1,1,2,7
experiment182,false,2.9474,73,133,1,1,3,6
experiment183,false,2.8500,97,100,1,1,5,17
experiment184,false,2.9304,115,158,1,1,4,10
experiment185,false,3.2079,161,178,1,1,4,14
experiment186,false,2.9231,136,143,1,1,4,15
experiment187,false,3.0088,108,114,1,1,3,10
experiment188,false,3.3741,117,139,1,1,4,10
experiment189,false,2.9434,55,53,1,1,4,10
experiment19,false,2.8305,57,59,1,1,4,10
experiment190,false,3.0593,215,253,1,1,3,18
experiment191,false,3.0566,144,212,1,1,3,9
experiment192,false,3.0390,128,154,1,1,4,9
experiment193,false,3.0488,246,287,1,1,3,13
experiment194,false,2.8667,64,60,1,1,4,14
experiment195,false,3.0566,104,106,1,1,3,13
experiment196,false,3.0269,168,186,1,1,4,20
experiment197,false,2.9545,105,110,1,1,4,14
experiment198,false,3.4646,137,127,1,1,3,7
experiment199,false,3.6055,408,550,1,1,6,23
experiment2,false,2.9677,107,124,1,1,5,18
experiment20,false,2.9771,126,131,1,1,2,8
experiment200,false,3.6775,367,555,1,1,4,21
experiment21,false,2.9043,93,94,1,1,2,12
experiment22,false,3.0341,79,88,1,1,3,12
experiment23,false,2.6400,98,100,1,1,6,34
experiment24,false,2.9450,213,218,1,1,4,14
experiment25,false,3.0702,109,114,1,1,4,14
experiment26,false,2.8132,78,91,1,1,5,11
experiment27,false,2.8421,74,76,1,1,5,14
experiment28,false,3.0000,108,105,1,1,2,10
experiment29,false,2.7727,43,44,1,1,4,11
experiment3,false,3.1517,123,145,1,1,3,14
experiment30,false,3.0990,98,101,1,1,4,11
experiment31,false,3.0429,128,140,1,1,3,12
experiment32,false,2.8594,65,64,1,1,5,13
experiment33,false,3.2021,88,94,1,1,3,8
experiment34,false,2.8889,81,81,1,1,5,12
experiment35,false,2.9282,169,181,1,1,4,14
experiment36,false,2.8375,77,80,1,1,4,15
experiment37,false,2.8333,55,54,1,1,6,14
experiment38,false,3.0429,221,233,1,1,3,15
experiment39,false,3.0482,191,228,1,1,3,17
experiment4,false,3.4124,275,274,1,1,3,12
experiment40,false,2.9877,87,81,1,1,2,8
experiment41,false,3.7814,798,636,1,1,4,23
experiment42,false,2.9273,107,110,1,1,2,9
experiment43,false,2.7949,37,39,1,1,3,8
experiment44,false,3.2722,156,180,1,1,6,21
experiment45,false,2.8980,51,49,1,1,5,13
experiment46,false,3.0845,570,592,1,1,2,30
experiment47,false,3.1202,181,233,1,1,3,15
experiment48,false,3.3803,228,376,1,1,5,11
experiment49,false,3.6388,348,526,1,1,11,34
experiment5,false,2.8625,77,80,1,1,5,14
experiment50,false,3.3889,35,36,1,1,2,5
experiment51,false,2.9695,132,131,1,1,3,11
experiment52,false,2.8696,26,23,1,1,3,7
experiment53,false,2.9512,278,287,1,1,2,11
experiment54,false,2.8036,51,56,1,1,3,10
experiment55,false,4.2973,190,370,1,1,5,12
experiment56,false,2.7111,42,45,1,1,4,12
experiment57,false,2.9952,205,209,1,1,4,15
experiment58,false,3.4242,197,198,1,1,7,20
experiment59,false,2.8152,90,92,1,1,3,15
experiment6,false,3.0676,146,148,1,1,3,14
experiment60,false,3.0789,204,228,1,1,2,12
experiment61,false,3.2471,202,174,1,1,3,17
experiment62,false,3.1500,43,40,1,1,3,9
experiment63,false,3.6897,110,87,1,1,5,13
experiment64,false,2.9891,165,183,1,1,3,19
experiment65,false,2.9297,124,128,1,1,4,15
experiment66,false,3.1374,121,131,1,1,5,16
experiment67,false,2.8714,71,70,1,1,3,12
experiment68,false,2.8657,67,67,1,1,4,12
experiment69,false,3.1558,126,154,1,1,5,15
experiment7,false,2.9400,51,50,1,1,4,13
experiment70,false,3.6855,543,795,1,1,7,31
experiment71,false,3.2097,53,62,1,1,4,9
experiment72,false,2.7959,88,98,1,1,4,14
experiment73,false,2.7288,61,59,1,1,6,18
experiment74,false,2.9714,34,35,1,1,4,8
experiment75,false,2.8082,133,146,1,1,6,20
experiment76,false,2.7955,44,44,1,1,3,11
experiment77,false,2.7143,31,35,1,1,3,9
experiment78,false,2.9637,354,358,1,1,2,12
experiment79,false,2.6957,22,23,1,1,4,8
experiment8,false,3.3217,124,115,1,1,4,14
experiment80,false,2.8254,58,63,1,1,5,12
experiment81,false,3.1577,175,222,1,1,5,16
experiment82,false,2.8529,38,34,1,1,4,10
experiment83,false,2.9737,75,76,1,1,4,10
experiment84,false,2.8167,56,60,1,1,4,13
experiment85,false,3.1133,490,565,1,1,3,22
experiment86,false,3.0877,117,114,1,1,4,15
experiment87,false,2.8485,34,33,1,1,4,9
experiment88,false,2.8462,64,65,1,1,4,11
experiment89,false,2.8548,62,62,1,1,3,11
experiment9,false,2.9338,150,151,1,1,2,13
experiment90,false,2.8333,30,30,1,1,3,8
experiment91,false,3.2180,101,133,1,1,5,14
experiment92,false,3.0863,132,139,1,1,4,14
experiment93,false,2.9750,81,80,1,1,2,9
experiment94,false,2.9052,117,116,1,1,2,13
experiment95,false,3.4836,92,122,1,1,4,10
experiment97,false,3.0363,1866,1874,1,1,2,11
experiment98,false,2.9412,20,17,1,1,3,5
experiment99,false,2.9038,55,52,1,1,2,9